city,gu,school_cnt
서울특별시,강동구,강동중학교
서울특별시,은평구,신도중학교
서울특별시,마포구,창천중학교
서울특별시,구로구,천왕중학교
서울특별시,서대문구,가재울중학교
서울특별시,성북구,길음중학교
서울특별시,강서구,마곡중학교
서울특별시,성북구,숭곡중학교
서울특별시,강남구,세곡중학교
서울특별시,송파구,송례중학교
서울특별시,서초구,내곡중학교
서울특별시,종로구,서울농학교
서울특별시,마포구,한국우진학교
서울특별시,종로구,서울맹학교
서울특별시,송파구,광성하늘빛학교
서울특별시,동작구,누리학교
서울특별시,강서구,교남학교
서울특별시,서초구,다니엘학교
서울특별시,강남구,밀알학교
서울특별시,관악구,서울새롬학교
서울특별시,광진구,서울광진학교
서울특별시,노원구,서울동천학교
서울특별시,동작구,서울삼성학교
서울특별시,강북구,서울애화학교
서울특별시,도봉구,서울인강학교
서울특별시,관악구,서울정문학교
서울특별시,노원구,서울정민학교
서울특별시,강북구,서울정인학교
서울특별시,구로구,서울정진학교
서울특별시,구로구,성베드로학교
서울특별시,종로구,수도사랑의학교
서울특별시,서대문구,연세대학교재활학교
서울특별시,강남구,서울정애학교
서울특별시,강동구,주몽학교
서울특별시,강동구,한국구화학교
서울특별시,송파구,한국육영학교
서울특별시,강북구,한빛맹학교
서울특별시,은평구,은평대영학교
서울특별시,종로구,서울경운학교
서울특별시,성북구,서울다원학교
서울특별시,강북구,서울효정학교
서울특별시,강남구,국립국악중학교
서울특별시,금천구,국립전통예술중학교
서울특별시,광진구,선화예술중학교
서울특별시,중구,예원학교
서울특별시,노원구,한국삼육중학교
서울특별시,마포구,아현중학교부설방송통신중학교
